Date,Description,Amount,Type,Label
2025-04-30,electricity bill Ahead stand.,945.89,DR,Expense
2024-11-08,amazon Professional.,12647.16,DR,Expense
2024-07-08,grocery Federal seek.,14860.21,DR,Expense
2025-03-14,interest Include return.,69311.12,Credit,Income
2025-06-24,emi Gas hit herself say.,5653.99,DR,Expense
2025-06-13,rent Accept well type.,12891.09,DR,Expense
2025-02-14,food His book where.,11169.37,DR,Expense
2025-01-27,rent Police second task.,19557.79,DR,Expense
2025-05-25,DEMAT Price international.,5462.67,DR,Savings
2024-10-30,paytm International.,9382.33,DR,Expense
2025-05-11,MUTUAL FUND PURCHASE System expert.,7524.45,DR,Savings
2025-03-18,DEBIT TO MUTUAL FUND Authority hope.,6549.4,DR,Savings
2024-07-21,paytm Performance several.,17382.8,DR,Expense
2024-11-15,grocery Choice national.,18822.15,DR,Expense
2025-03-06,emi Blue we parent be.,11950.08,DR,Expense
2025-05-08,grocery Another each.,2198.0,DR,Expense
2025-03-06,RENT RECEIVED Him believe nearly.,10800.12,CR,Income
2025-05-06,EQUITY The book game.,9767.39,DR,Savings
2025-05-19,swiggy Level half place.,5783.99,DR,Expense
2025-04-06,RECEIVED FROM Foreign section.,68035.07,Credit,Income
2024-12-29,zomato Film heavy analysis.,19896.23,DR,Expense
2024-09-19,grocery Important central.,4835.2,DR,Expense
2024-10-05,scholarship Three agency likely.,78510.41,Credit,Income
2025-04-25,SALARY DEPOSIT Civil understand.,52276.65,Credit,Income
2024-07-12,CREDIT Agree development.,20922.42,CR,Income
2025-04-20,reversal Easy term very rest.,75562.75,Credit,Income
2024-08-29,KVP Rule budget old.,5805.06,DR,Savings
2024-11-20,REFUND Store write fly.,8847.07,Credit,Income
2024-08-13,fuel But find level.,7093.1,DR,Expense
2025-02-15,insurance claim Important theory.,17528.46,Credit,Income
2025-03-31,food You free know.,11680.81,DR,Expense
2024-12-17,arrears Bank pressure head.,13007.81,CR,Income
2025-04-09,salary transfer Federal bag family.,48110.5,CR,Income
2024-12-30,ppf Effect actually for.,4089.37,DR,Savings
2024-09-09,zomato Political law put.,282.91,DR,Expense
2024-09-02,CREDITED TO Summer never yet.,55314.6,Credit,Income
2024-07-21,electricity bill Production than.,4847.03,DR,Expense
2025-05-15,AUTO INVEST Main cultural wall.,1583.5,DR,Savings
2024-08-31,food Get customer not.,4296.54,DR,Expense
2024-09-03,elss Make at blood no.,9696.93,DR,Savings
2025-04-07,grocery Plan stuff owner ok.,13879.29,DR,Expense
2025-03-21,pension Along after stage.,23286.38,CR,Income
2025-01-27,sale credit Environmental plant.,38382.86,CR,Income
2024-11-04,salary transfer Us important draw.,6710.47,CR,Income
2025-03-11,rent Evening share.,956.4,DR,Expense
2025-01-10,grocery Very teach.,18097.04,DR,Expense
2025-05-14,fuel Feel realize amount.,6879.85,DR,Expense
2024-07-30,food Anything.,7702.9,DR,Expense
2025-05-04,fuel Police window run.,17735.16,DR,Expense
2024-12-08,reimbursement Very offer current.,10520.32,Credit,Income
2025-06-30,TATA AIA Special buy.,9811.94,DR,Savings
2024-08-13,grocery Morning student.,11477.47,DR,Expense
2025-05-25,FD BOOKING I institution.,5699.45,DR,Savings
2024-08-12,shopping Blue man government.,17857.45,DR,Expense
2024-09-22,food Scene property.,9929.4,DR,Expense
2025-05-10,award Material religious.,58823.3,Credit,Income
2025-02-04,advance credit Thousand right.,45013.98,CR,Income
2025-05-03,AUTO INVEST He offer group test.,8149.53,DR,Savings
2025-03-26,INTEREST CREDIT Energy across game.,66545.56,CR,Income
2025-03-10,RENT RECEIVED Technology huge.,12545.76,Credit,Income
2024-12-31,dividend payout Full idea natural.,42733.36,Credit,Income
2024-07-21,zomato Account although.,11128.08,DR,Expense
2024-08-08,HDFC MF Push behavior.,2089.86,DR,Savings
2024-09-26,food Station item rock.,7755.91,DR,Expense
2024-07-12,food Field adult same.,8364.13,DR,Expense
2024-08-29,RD interest Eat board your that.,43064.33,CR,Income
2025-04-28,SALARY CREDITED Company scene set.,24742.66,CR,Income
2025-05-28,insurance payout Available.,16624.84,Credit,Income
2025-05-15,paytm Enjoy sort other.,19200.4,DR,Expense
2025-05-23,swiggy Husband build win.,3419.23,DR,Expense
2024-11-18,swiggy Technology receive.,8069.29,DR,Expense
2024-12-09,emi Next fear cup whole.,7150.65,DR,Expense
2025-02-10,online transfer Sing far everybody.,54277.85,Credit,Income
2025-01-12,sale credit Shake religious.,37644.76,CR,Income
2024-09-24,rent Drive traditional.,2151.1,DR,Expense
2024-10-27,electricity bill Remember fly look.,8149.07,DR,Expense
2024-11-12,swiggy Sense because job.,1086.52,DR,Expense
2025-04-07,lic There at cover.,5617.64,DR,Savings
2025-04-19,reimbursement credit Agent would effort.,26183.9,Credit,Income
2025-05-12,salary credited Everyone process.,59008.22,CR,Income
2025-05-23,settlement To various main.,36879.7,CR,Income
2025-03-20,cashback Take whole party.,68939.01,CR,Income
2024-07-15,shopping Avoid break economy.,18101.9,DR,Expense
2025-04-20,bank transfer Member commercial.,30806.9,Credit,Income
2024-11-16,swiggy First my toward.,4561.04,DR,Expense
2024-08-28,cashback Police wind cup.,68194.27,CR,Income
2024-07-24,shopping Easy bring.,6818.36,DR,Expense
2024-10-26,grocery Of without occur.,11352.27,DR,Expense
2024-12-17,zomato She which edge law.,8455.43,DR,Expense
2024-08-13,shopping Director reveal.,4557.82,DR,Expense
2025-05-17,ACH/NEFT credit Mean mention center.,62755.15,CR,Income
2025-04-21,interest Language three air.,19264.43,CR,Income
2025-04-06,rent Successful decision.,13154.26,DR,Expense
2024-10-25,swiggy Hand build decade.,16917.83,DR,Expense
2025-02-20,salary transfer Senior enough.,42226.49,CR,Income
2025-06-13,fuel Election whom list.,4818.02,DR,Expense
2024-09-23,DIVIDEND RECEIVED Act cold because.,59853.0,Credit,Income
2024-12-15,SAVINGS Under item one here.,8994.08,DR,Savings
2025-04-25,loan disbursal Strong like mission.,59713.35,Credit,Income
2025-02-25,NPS Animal what world.,1316.64,DR,Savings
2024-12-27,DEMAT Citizen purpose.,3101.03,DR,Savings
2025-06-05,icici pru Parent true body I.,1187.44,DR,Savings
2025-01-31,swiggy Ten prepare million.,1260.06,DR,Expense
2025-04-02,grocery A same easy century.,6305.61,DR,Expense
2025-06-04,amazon Soon order meeting.,15194.76,DR,Expense
2024-07-14,fuel Type power name.,3204.52,DR,Expense
2025-07-01,TRANSFER FROM Create tree upon.,76977.13,Credit,Income
2024-08-22,emi Small them short.,16453.58,DR,Expense
2024-12-02,paytm Store first during.,16216.39,DR,Expense
2024-09-17,zomato Rock should bag.,19173.09,DR,Expense
2024-08-12,mutual fund All page successful.,1168.93,DR,Savings
2025-05-08,paytm Account grow.,10796.45,DR,Expense
2025-02-11,amazon Condition eat.,18016.3,DR,Expense
2025-02-12,grocery Firm positive hit.,16629.63,DR,Expense
2025-06-05,IMPS credit Take once bag close.,59540.47,CR,Income
2024-08-21,NATIONAL PENSION SYSTEM Mind ability.,1334.86,DR,Savings
2024-12-02,swiggy Field trial myself.,16879.48,DR,Expense
2025-01-17,ppf Experience.,8659.42,DR,Savings
2025-02-21,award Happen book member.,61992.38,CR,Income
2025-05-19,emi Make analysis.,14381.58,DR,Expense
2025-01-28,amazon Hair worry question.,7376.53,DR,Expense
2024-11-05,paytm Politics experience.,9668.48,DR,Expense
2024-12-23,zomato Able animal person.,15035.25,DR,Expense
2025-05-23,mutual fund redemption Chance apply fight.,49504.28,Credit,Income
2024-10-17,ACH/NEFT credit System do bag.,28340.43,Credit,Income
2024-10-25,royalty Beautiful voice.,22334.67,CR,Income
2024-09-02,emi End great standard.,2523.47,DR,Expense
2025-04-14,tax refund Investment child.,23350.35,CR,Income
2025-06-04,commission Other mouth speak.,15466.81,Credit,Income
2024-08-29,UPI credit Shake admit range.,67108.52,Credit,Income
2024-07-20,sip Clear forget.,7197.4,DR,Savings
2024-10-05,emi Itself number hope.,18548.1,DR,Expense
2024-09-29,grocery Culture court whose.,12330.77,DR,Expense
2025-06-19,TRANSFER TO SAVINGS DEPOSIT Important current.,9093.65,DR,Savings
2025-04-02,MIRAE ASSET Last almost real.,9064.58,DR,Savings
2024-07-15,SUKANYA SAMRIDDHI Condition short.,6929.64,DR,Savings
2024-11-08,PUBLIC PROVIDENT FUND Doctor everything.,3743.35,DR,Savings
2024-12-06,amazon Team police work.,8959.9,DR,Expense
2025-05-01,shopping Box training.,6732.43,DR,Expense
2024-10-06,salary transfer Help song food.,10816.05,CR,Income
2024-08-12,INTEREST CREDIT Bag plant plant.,71828.55,CR,Income
2025-06-06,electricity bill Growth rather beat.,10686.52,DR,Expense
2025-05-16,reversal One site although.,70211.9,Credit,Income
2024-09-10,ICICI PRU LIFE Wind him challenge.,4460.02,DR,Savings
2025-06-16,consulting payment Interview again.,40391.22,CR,Income
2025-05-12,shopping Always choice.,1397.83,DR,Expense
2024-11-25,shopping Place significant.,9377.07,DR,Expense
2025-03-31,sale credit Customer walk under.,44042.55,Credit,Income
2024-11-18,fuel Still threat.,13590.84,DR,Expense
2024-12-25,paytm Reach building.,9150.1,DR,Expense
2025-02-27,ACH/NEFT from Whose indeed.,8080.32,Credit,Income
2025-05-09,TERM PLAN Wall seven consumer.,7301.19,DR,Savings
2025-01-06,amazon Recognize if street.,2913.98,DR,Expense
2024-12-18,fuel Lay somebody score.,1458.9,DR,Expense
2025-03-27,food Yeah door create.,1988.74,DR,Expense
2024-11-20,SGB Need Democrat.,7283.85,DR,Savings
2025-01-02,NSC Court hard usually.,9957.25,DR,Savings
2025-06-11,dividend credit Race career draw.,16123.06,Credit,Income
2024-11-21,shopping Wife economy board.,19504.09,DR,Expense
2025-05-07,EQUITY INVESTMENT Economy job data.,7486.32,DR,Savings
2025-05-01,fuel Score view reach.,14445.82,DR,Expense
2025-06-08,electricity bill Conference remember.,9446.52,DR,Expense
2025-06-16,refund Catch manage my.,21238.08,Credit,Income
2024-07-11,expense claim Prove force store.,64369.16,Credit,Income
2025-03-19,paytm Street when theory.,13897.53,DR,Expense
2024-08-17,electricity bill Fact card cell data.,8310.5,DR,Expense
2024-08-31,SALARY DEPOSIT State from price.,77064.11,CR,Income
2024-12-17,shopping Like page establish.,12082.37,DR,Expense
2025-04-23,pension Mean one by heavy.,74646.3,CR,Income
2025-06-24,rent Continue pressure.,8247.68,DR,Expense
2025-04-12,shopping Sign shoulder.,3910.54,DR,Expense
2025-05-16,salary deposit Huge soon strong.,31464.33,Credit,Income
2024-10-10,fuel Chance party point.,2972.16,DR,Expense
2024-08-01,salary deposit Step seek benefit.,61298.68,Credit,Income
2024-09-03,zomato Stock almost time.,4669.02,DR,Expense
2024-07-07,electricity bill Plant power.,7473.5,DR,Expense
2025-02-17,fuel Participant country.,992.53,DR,Expense
2025-03-02,electricity bill Blue not pass light.,3525.29,DR,Expense
2025-02-02,fuel Natural win dream.,4898.56,DR,Expense
2025-01-09,fuel Spend leg know.,15135.3,DR,Expense
2025-06-17,rent Reality certainly.,932.04,DR,Expense
2024-11-26,rent Good choose.,19380.78,DR,Expense
2024-12-03,maturity proceeds Story relationship.,19128.81,CR,Income
2024-08-10,EQUITY INVESTMENT Race and much house.,2797.71,DR,Savings
2025-05-27,fuel Religious other.,15968.47,DR,Expense
2025-05-27,sale credit Short of anything.,13669.02,CR,Income
2024-12-01,rent Good must those son.,12909.7,DR,Expense
2024-11-05,stipend Until human pretty.,33622.87,CR,Income
2025-03-06,amazon Operation worker.,10223.16,DR,Expense
2025-04-12,grocery Book article anyone.,17652.91,DR,Expense
2024-07-09,refund Offer night.,53855.72,CR,Income
2024-09-27,NATIONAL PENSION SYSTEM Treatment bar young.,9495.19,DR,Savings
2024-12-28,paytm Mention mouth sport.,3019.73,DR,Expense
2024-11-27,food Indicate full thus.,7908.12,DR,Expense
2024-12-21,zomato Environmental reach.,5436.62,DR,Expense
2025-02-26,emi Rule purpose join.,18265.64,DR,Expense
2025-01-14,amazon Home call force.,1634.92,DR,Expense
2024-10-28,insurance payout Whatever fall only.,46227.89,Credit,Income
2025-02-05,zomato Partner week its.,10755.77,DR,Expense
2024-08-02,paytm Close program it.,8536.5,DR,Expense
2025-05-11,shopping Upon meet believe.,8128.58,DR,Expense
2024-12-10,food Want suffer first.,12940.72,DR,Expense
2025-02-20,grocery Your it trade.,2115.52,DR,Expense
2024-07-30,pension Course member.,51656.01,Credit,Income
2025-06-07,salary transfer Race beyond seven.,20135.13,Credit,Income
2024-09-02,grocery General blue.,12386.06,DR,Expense
2025-05-25,DIVIDEND RECEIVED Start group federal.,76943.96,Credit,Income
2024-09-20,ACH/NEFT credit As of whole room.,56286.04,Credit,Income
2024-12-26,grocery Concern pass skin.,2904.74,DR,Expense
2024-08-06,paytm True weight very.,14941.54,DR,Expense
2024-11-07,incentive Family recognize.,69957.82,Credit,Income
2025-04-25,SALARY CREDITED View culture the.,34044.52,CR,Income
2025-04-21,rent Style loss people.,10555.08,DR,Expense
2024-12-02,FD BOOKING Mother career us.,2666.65,DR,Savings
2025-01-30,profit share Thus poor quickly.,24955.64,Credit,Income
2025-01-02,KVP Sense reach learn.,5298.43,DR,Savings
2025-01-25,reimbursement Exist better very.,62691.39,CR,Income
2024-07-07,grocery Movement market.,1618.41,DR,Expense
2025-02-06,loan disbursal Speak provide.,77152.59,CR,Income
2024-12-10,grocery Model when war.,18043.97,DR,Expense
2024-12-08,NATIONAL PENSION SYSTEM On anyone all my.,5923.68,DR,Savings
2024-12-15,zomato Oil shoulder TV kid.,19637.58,DR,Expense
2025-02-10,salary from Raise cell find.,76349.04,CR,Income
2025-01-11,paytm Vote upon usually.,16944.05,DR,Expense
2025-03-01,electricity bill Able idea agent.,4939.01,DR,Expense
2025-03-23,shopping Out their or.,12907.89,DR,Expense
2024-12-30,grocery When skill machine.,13730.32,DR,Expense
2025-02-26,mutual fund redemption Value that oil.,10497.15,Credit,Income
2024-07-04,DEMAT Challenge bag.,9951.93,DR,Savings
2024-09-03,fuel Knowledge floor.,5417.32,DR,Expense
2024-08-16,payment from Later eight hand.,46053.45,CR,Income
2024-07-05,shopping Involve develop.,13403.06,DR,Expense
2024-07-14,RTGS credit Give read job home.,14113.48,CR,Income
2024-12-14,arrears Bit between however.,68685.16,CR,Income
2024-07-17,SALARY CREDITED Citizen book rather.,54383.58,CR,Income
2025-01-23,rent Blue green economy.,13869.11,DR,Expense
2024-10-13,TATA AIA Garden significant.,2571.54,DR,Savings
2024-07-07,swiggy Risk arm probably.,15484.8,DR,Expense
2025-03-25,grocery Magazine station.,1441.65,DR,Expense
2024-08-14,fuel Produce compare.,4504.33,DR,Expense
2024-11-26,paytm Race ground.,13243.81,DR,Expense
2025-04-08,IMPS credit Whom management.,26759.62,CR,Income
2024-10-29,food Image my require.,13705.41,DR,Expense
2024-12-24,paytm Man price various.,14398.31,DR,Expense
2024-07-09,SGB INVESTMENT Chair though happy.,7114.49,DR,Savings
2025-07-01,swiggy At race five.,10828.79,DR,Expense
2024-07-13,swiggy Perhaps artist.,14170.72,DR,Expense
2025-06-16,shopping Talk box standard.,13444.38,DR,Expense
2024-12-29,emi Share a beautiful.,13837.18,DR,Expense
2024-11-16,CREDITED TO Individual mouth.,49878.62,CR,Income
2025-02-09,amazon Worker experience.,4591.12,DR,Expense
2025-06-01,rent Within effect.,5984.05,DR,Expense
2024-11-04,cashback Scene year early.,8073.25,Credit,Income
2024-07-29,medical claim She you now term.,9297.2,CR,Income
2025-01-17,swiggy Role film he.,7270.24,DR,Expense
2024-09-18,cash deposit According enter.,45321.52,CR,Income
2025-04-10,NIPPON INDIA Yourself easy onto.,6506.34,DR,Savings
2024-12-26,sip Degree resource.,4565.16,DR,Savings
2025-06-23,zomato Item speak leader.,3238.61,DR,Expense
2024-09-23,incentive Culture agree.,7981.87,CR,Income
2024-12-25,SAVINGS Glass her why sell.,3237.66,DR,Savings
2024-10-04,incentive Room himself wish.,10076.12,CR,Income
2024-10-09,reimbursement Director over sort.,5968.47,CR,Income
2025-04-10,FD OPENING Travel determine.,9716.04,DR,Savings
2024-07-11,SSY ACCOUNT Up campaign trouble.,9156.0,DR,Savings
2025-06-04,cashback Follow total.,9422.55,CR,Income
2025-06-03,bonus credit Great if different.,78985.2,CR,Income
2024-09-05,shopping Maintain wall.,16217.05,DR,Expense
2025-02-16,elss Condition big south.,1854.65,DR,Savings
2025-06-24,FD RENEWAL Never only.,7912.57,DR,Savings
2024-09-11,paytm Relationship.,16640.67,DR,Expense
2025-04-11,salary transfer Candidate without.,36056.07,Credit,Income
2024-11-02,reimbursement Energy evidence.,52737.08,Credit,Income
2025-03-22,rent Return appear.,4716.08,DR,Expense
2025-05-18,bonus credit Full source total.,63407.56,CR,Income
2024-11-16,SALARY Have few lay nearly.,50188.91,Credit,Income
2024-11-09,salary transfer Because piece war.,19161.29,Credit,Income
2024-08-30,transfer from Event message.,61438.38,Credit,Income
2024-11-10,interest Cultural catch.,25227.72,CR,Income
2025-04-23,grocery Bad speak rise.,5996.57,DR,Expense
2024-08-03,paytm Cold establish.,851.98,DR,Expense
2024-10-12,expense claim Body sister in boy.,79822.31,CR,Income
2024-08-29,REIMBURSEMENT Prevent radio draw.,39856.37,CR,Income
2024-07-23,food Factor draw tonight.,17193.85,DR,Expense
2024-08-30,loan credit Subject rich need.,44126.49,Credit,Income
2025-06-29,food Financial blue.,1931.66,DR,Expense
2024-08-24,amazon Painting trouble.,9198.21,DR,Expense
2024-07-29,fuel Account notice trip.,18427.59,DR,Expense
2024-09-21,FD OPENING Security see laugh.,9855.14,DR,Savings
2025-01-16,dividend credit Instead poor up.,11895.63,CR,Income
2024-10-01,zomato Piece experience.,8250.85,DR,Expense
2024-07-20,BONUS RECEIVED Begin above PM move.,7465.34,CR,Income
2024-11-09,ppf Particularly man.,5517.09,DR,Savings
2024-12-29,RECEIVED FROM Thank four west.,77564.09,CR,Income
2025-03-14,grocery Nation thousand.,7508.05,DR,Expense
2025-06-19,insurance payout Region later even.,73206.13,CR,Income
2025-01-06,rent Power nature father.,9729.09,DR,Expense
2024-10-16,swiggy Security value.,17682.92,DR,Expense
2025-04-26,electricity bill Occur use scientist.,8545.57,DR,Expense
2025-07-01,electricity bill Card room lot force.,13600.95,DR,Expense
2024-10-16,FRANKLIN TEMPLETON Our fund be upon.,7797.29,DR,Savings
2025-04-14,SALARY TRANSFER Return couple catch.,70683.3,CR,Income
2024-08-16,shopping Door mention.,7627.06,DR,Expense
2024-07-10,REIMBURSEMENT The worry base also.,40431.84,Credit,Income
2025-02-09,fuel Half practice.,1044.29,DR,Expense
2025-04-11,electricity bill Feel matter stay.,3061.51,DR,Expense
2025-03-16,HDFC LIFE Wide career.,8344.84,DR,Savings
2024-11-16,rent Two phone put.,14437.48,DR,Expense
2025-03-25,scholarship Push two make bed.,68111.84,Credit,Income
2025-06-30,paytm Hope between on.,8411.57,DR,Expense
2025-04-18,elss Eight prevent team.,6314.97,DR,Savings
2024-11-02,electricity bill Wait fine talk his.,18126.2,DR,Expense
2024-10-12,CREDIT Wide manage among.,64056.8,Credit,Income
2024-07-12,TRANSFER FROM Prove for other.,71024.66,Credit,Income
2024-09-25,amazon Degree yet fast.,15940.78,DR,Expense
2024-10-20,pension No full business.,7511.86,Credit,Income
2024-12-03,electricity bill Television edge and.,8810.93,DR,Expense
2025-06-14,food Blood we stock eye.,8196.43,DR,Expense
2024-11-06,zomato Finally real skin.,9830.22,DR,Expense
2024-09-24,paytm Beyond shake what.,18018.93,DR,Expense
2025-06-11,rent Back democratic.,19452.51,DR,Expense
2025-04-15,emi Allow church ground.,5936.64,DR,Expense
2024-10-17,shopping Reduce vote body.,17279.59,DR,Expense
2025-03-08,shopping Of worker front eat.,17990.35,DR,Expense
2025-05-17,stipend Mean affect future.,22954.05,CR,Income
2025-02-28,swiggy Recently report.,3421.8,DR,Expense
2025-05-17,REIMBURSEMENT Join son player.,22557.28,CR,Income
2024-08-28,amazon Yeah firm assume.,12734.42,DR,Expense
2024-09-22,CREDIT Push war minute.,64088.57,CR,Income
2025-03-02,RD INITIATED Network must young.,8172.02,DR,Savings
2025-01-07,salary transfer Amount actually.,29319.55,Credit,Income
2024-07-10,paytm Party best bank.,10125.82,DR,Expense
2024-07-05,emi Discover magazine.,13095.16,DR,Expense
2024-12-28,award Fear focus.,51635.83,Credit,Income
2025-03-01,interest Organization.,54600.54,Credit,Income
2024-12-01,shopping Data administration.,16462.57,DR,Expense
2024-09-06,DEBIT TO MUTUAL FUND Available culture.,2720.56,DR,Savings
2024-09-06,ACH/NEFT from As fact technology.,34579.06,Credit,Income
2025-06-07,ACH/NEFT from Single toward.,9925.33,CR,Income
2024-11-14,advance credit They service.,23437.89,Credit,Income
2024-10-03,arrears Wind down us agree.,14052.38,Credit,Income
2025-03-04,medical claim Since investment.,5424.36,Credit,Income
2025-05-16,emi More meeting.,10849.1,DR,Expense
2024-08-06,grocery Send officer.,17757.79,DR,Expense
2025-03-10,ppf Seem edge thing.,3992.81,DR,Savings
2025-04-02,dividend Follow cover policy.,8614.98,Credit,Income
2025-06-20,SIP DEBIT What behind suffer.,3429.14,DR,Savings
2025-01-02,amazon Role star citizen.,3552.68,DR,Expense
2024-12-06,zomato Customer me five.,11570.42,DR,Expense
2025-06-07,food Than rule red.,6813.15,DR,Expense
2025-03-19,STOCKS Behavior window.,3489.02,DR,Savings
2025-01-28,shopping On simple mouth.,7152.49,DR,Expense
2025-03-30,swiggy Significant huge.,15160.7,DR,Expense
2024-11-17,HDFC MF Walk office soon.,5028.59,DR,Savings
2025-04-26,SALARY TRANSFER Sport cut part.,69616.0,CR,Income
2025-06-14,FD INTEREST CREDIT Whatever affect.,4515.76,DR,Savings
2024-11-05,food Hit safe would week.,1467.2,DR,Expense
2025-01-15,fuel Question example.,13472.08,DR,Expense
2024-12-23,MIRAE ASSET Character general.,4634.16,DR,Savings
2024-11-04,DEBIT FOR INVESTMENT Something notice.,9067.01,DR,Savings
2025-03-04,emi Feel speech.,18116.83,DR,Expense
2025-03-01,grocery Chance use unit.,2670.49,DR,Expense
2025-06-12,grocery Finally become move.,8845.83,DR,Expense
2024-08-14,consulting payment Everyone through.,72924.52,Credit,Income
2025-04-30,TRADING ACCOUNT Approach cause also.,8863.88,DR,Savings
2024-07-14,paytm Necessary foot.,2348.68,DR,Expense
2024-08-04,amazon West around imagine.,14641.43,DR,Expense
2025-06-02,rent Size wait concern.,7958.09,DR,Expense
2025-07-01,expense claim Free something.,61513.85,Credit,Income
2025-03-05,refund Picture herself.,67362.16,CR,Income
2024-12-23,RELIANCE MF Main animal.,4730.87,DR,Savings
2024-11-20,swiggy Ground task.,9719.12,DR,Expense
2024-11-12,fuel Make sport bar.,7350.03,DR,Expense
2025-05-19,consulting payment Magazine notice.,32205.92,CR,Income
2024-07-21,ACH/NEFT credit American air house.,33049.45,Credit,Income
2025-02-14,sale proceeds Then task person.,72058.38,CR,Income
2024-07-29,rent Improve strategy.,15023.7,DR,Expense
2024-10-01,shopping Region.,13722.31,DR,Expense
2025-06-18,zomato Defense name do.,9651.87,DR,Expense
2024-09-27,INVESTMENT Order political.,9184.06,DR,Savings
2024-11-01,electricity bill Keep size minute.,9235.75,DR,Expense
2024-10-08,paytm Simply cost know.,2215.29,DR,Expense
2025-02-20,fuel Majority wide.,664.44,DR,Expense
2024-09-03,maturity proceeds Blue woman note.,37554.03,Credit,Income
2024-08-13,electricity bill Bar realize prepare.,7117.31,DR,Expense
2024-07-30,fd Western attention.,7416.14,DR,Savings
2024-07-28,ICICI PRU MF Its example special.,608.68,DR,Savings
2024-10-27,maturity proceeds Report hand ready.,64164.55,Credit,Income
2025-03-09,SIP DEBIT So health hot.,4086.98,DR,Savings
2024-12-02,swiggy Happy world.,383.47,DR,Expense
2024-09-07,rent Congress church.,5773.94,DR,Expense
2025-05-03,paytm Adult than.,13108.23,DR,Expense
2025-06-03,paytm Place since two.,17629.84,DR,Expense
2025-06-22,ACH/NEFT from Member than forget.,56306.86,Credit,Income
2024-11-04,STOCKS Approach forward.,6984.58,DR,Savings
2024-07-22,swiggy Avoid low even.,16671.09,DR,Expense
2025-05-22,electricity bill Put look degree.,5163.21,DR,Expense
2025-01-23,IMPS credit Model tree author.,19206.48,Credit,Income
2025-01-22,rent Billion for run.,8440.02,DR,Expense
2025-03-19,fuel Both enjoy approach.,18527.49,DR,Expense
2025-04-16,NIPPON INDIA Ready president it.,662.02,DR,Savings
2025-06-07,salary credited Pass information.,67551.31,Credit,Income
2025-03-09,grocery Consumer sort.,9209.45,DR,Expense
2025-05-30,reversal Ask idea peace.,25779.71,Credit,Income
2025-06-03,incentive Our more team.,17126.75,CR,Income
2025-01-06,grocery Although industry.,2992.5,DR,Expense
2024-08-09,amazon Himself job.,14773.67,DR,Expense
2024-08-06,credited Themselves choice.,64128.01,Credit,Income
2024-11-05,fuel Activity control.,1142.9,DR,Expense
2024-11-04,settlement Page board kitchen.,59455.72,CR,Income
2024-12-23,INVESTMENT Debate true.,6822.94,DR,Savings
2024-09-18,zomato Professor option.,12248.05,DR,Expense
2025-05-27,SALARY CREDITED Identify return.,52362.89,Credit,Income
2024-08-01,emi Newspaper eat worry.,14689.51,DR,Expense
2024-08-21,dividend Early idea eight.,72295.03,Credit,Income
2024-08-07,shopping Hundred fear price.,12735.28,DR,Expense
2025-03-11,fuel Color art physical.,12192.43,DR,Expense
2025-01-29,dividend credit Happen white your.,62475.69,Credit,Income
2024-12-09,paytm Consider marriage.,10227.87,DR,Expense
2025-02-13,rent Pull affect later.,2798.59,DR,Expense
2025-03-17,reversal Article list nearly.,37320.76,Credit,Income
2025-02-28,fuel Agency doctor will.,9754.77,DR,Expense
2024-07-14,CREDIT FROM Draw thus everybody.,77009.75,Credit,Income
2025-03-21,swiggy Cold increase.,15255.15,DR,Expense
2025-01-03,bonus Law box spend.,37975.23,CR,Income
2024-08-13,reimbursement credit Either summer.,66122.98,Credit,Income
2025-02-15,food Size somebody on.,5787.27,DR,Expense
2024-08-16,HDFC MF Skin relationship.,606.31,DR,Savings
2025-05-29,electricity bill Natural employee.,3516.31,DR,Expense
2024-11-22,electricity bill Theory.,4034.75,DR,Expense
2024-07-07,amazon Everyone believe.,16405.9,DR,Expense
2024-12-31,SUKANYA SAMRIDDHI History nearly.,5157.81,DR,Savings
2024-11-09,online transfer Field spring main.,64729.61,CR,Income
2024-07-12,FIXED DEPOSIT Move loss human.,3284.85,DR,Savings
2025-05-20,PREMIUM PAID Civil think rule.,6232.79,DR,Savings
2025-03-09,shopping Rate record.,14346.98,DR,Expense
2024-09-17,salary transfer Finish statement.,22710.02,Credit,Income
2024-09-29,electricity bill Or consider.,9584.94,DR,Expense
2025-05-05,rent Point detail.,11304.57,DR,Expense
2024-09-06,fd Trouble coach force.,7354.02,DR,Savings
2024-10-26,FD INTEREST CREDIT Government same.,4157.93,DR,Savings
2024-08-26,electricity bill Along scene all.,14205.45,DR,Expense
2025-03-31,online transfer As whom section.,7272.7,Credit,Income
2025-01-14,amazon Guess machine upon.,6847.68,DR,Expense
2025-06-08,swiggy Federal eye clearly.,19835.86,DR,Expense
2025-02-04,grocery Loss shoulder ago.,6565.97,DR,Expense
2024-07-11,zomato Apply budget whose.,17285.79,DR,Expense
2024-07-27,RD DEPOSIT Coach around image.,1414.15,DR,Savings
2025-06-15,amazon Those issue forward.,14634.4,DR,Expense
2025-02-04,food Sure minute food.,16641.66,DR,Expense
2024-09-03,salary from Race high speak.,9233.97,CR,Income
2024-10-02,CREDIT FROM Hand several black.,48858.02,CR,Income
2024-11-21,swiggy Thought contain.,9203.93,DR,Expense
2025-05-20,fd Drug late major.,7937.65,DR,Savings
2025-05-06,SGB INVESTMENT Certainly usually.,2236.14,DR,Savings
2024-10-05,insurance payout Heavy traditional.,18755.21,CR,Income
